DoW,Mon,Hour,Detected,Real
Saturday,10,1,10,252
Monday,10,1,7,307
Friday,10,1,9,332
Thursday,10,1,12,210
Tuesday,10,1,11,203
Tuesday,10,0,2,27
Monday,10,1,12,285
Wednesday,10,1,13,167
Monday,10,1,11,275
Thursday,10,0,2,19
Tuesday,10,1,12,249
Saturday,10,0,4,36
Saturday,10,0,1,36
Friday,10,0,19,264
Wednesday,10,0,4,30
Friday,10,1,20,352
Sunday,10,1,4,187
Saturday,10,2,6,72
Monday,10,0,1,42
Wednesday,10,0,1,23
Friday,10,2,20,403
Friday,10,0,2,25
Tuesday,10,2,3,74
Wednesday,10,2,2,45
Monday,10,0,2,7
Friday,10,1,20,343
Thursday,10,0,3,24
Tuesday,10,1,22,212
Monday,10,2,6,123
Saturday,10,1,2,232
Monday,10,1,14,135
Sunday,10,2,5,171
Saturday,10,1,11,234
Friday,10,0,3,27
Monday,10,1,13,202
Thursday,10,0,4,52
Tuesday,10,1,12,251
Friday,10,0,15,261
Monday,10,1,2,250
Saturday,10,1,6,180
Thursday,10,2,8,91
Friday,10,0,3,33
Saturday,10,2,7,205
Tuesday,10,1,19,228
Thursday,10,0,2,26
Wednesday,10,0,1,40
Saturday,10,2,3,98
Monday,10,1,4,229
Wednesday,10,0,2,31
Monday,10,2,3,26
Monday,10,2,11,319
Monday,10,1,9,222
Saturday,10,0,1,28
Tuesday,10,0,10,238
Tuesday,10,0,12,322
Friday,10,0,21,278
Wednesday,10,1,18,194
Friday,10,0,16,304
Tuesday,10,0,4,13
Friday,10,1,12,216
Friday,10,0,1,25
Tuesday,10,0,2,23
Monday,10,2,10,267
Friday,10,1,8,219
Saturday,10,0,3,60
Tuesday,10,0,6,71
Friday,10,1,23,382
Saturday,10,1,9,190
Saturday,10,1,14,283
Friday,10,2,1,82
Saturday,10,0,7,24
Friday,10,1,19,205
Thursday,10,0,12,302
Saturday,10,1,8,225
Thursday,10,2,3,99
Saturday,10,1,7,249
Wednesday,10,0,4,11
Wednesday,10,0,6,67
Monday,10,0,3,51
Wednesday,10,1,15,199
Tuesday,10,1,7,230
Friday,10,1,7,238
Friday,10,0,2,20
Saturday,10,1,17,190
Wednesday,10,1,14,237
Wednesday,10,1,11,232
Saturday,10,2,5,62
Friday,10,0,11,82
Tuesday,10,0,17,259
Thursday,10,2,4,175
Saturday,10,0,1,46
Wednesday,10,0,8,232
Saturday,10,1,9,130
Tuesday,10,0,9,49
Friday,10,0,11,342
Sunday,10,1,7,260
Monday,10,2,4,117
Sunday,10,1,5,178
Thursday,10,0,3,37
Thursday,10,1,12,200
Saturday,10,1,8,155
Thursday,10,1,10,216
Thursday,10,1,21,189
Wednesday,10,1,23,212
Thursday,10,0,2,24
Sunday,10,1,11,360
Thursday,10,1,9,151
Tuesday,10,1,14,330
Wednesday,10,0,1,24
Monday,10,1,18,325
Saturday,10,1,7,206
Saturday,10,0,1,36
Friday,10,1,14,221
Saturday,10,1,8,225
Saturday,10,1,5,189
Tuesday,10,2,5,98
Friday,10,2,5,356
Sunday,10,0,3,52
Saturday,10,2,8,249
Wednesday,10,0,5,49
Friday,10,1,5,222
Thursday,10,2,7,149
Saturday,10,0,4,52
Tuesday,10,1,12,297
Saturday,10,1,12,263
Monday,10,0,3,36
Friday,10,1,25,352
Friday,10,1,12,254
Sunday,10,0,1,23
Tuesday,10,0,14,254
Monday,10,0,3,36
Tuesday,10,0,4,46
Thursday,10,2,6,117
Friday,10,0,24,281
Saturday,10,0,2,24
Wednesday,10,2,4,49
Monday,10,1,3,228
Saturday,10,0,11,170
Saturday,10,2,7,224
Saturday,10,1,9,301
Tuesday,10,2,8,143
Sunday,10,0,1,34
Sunday,10,1,8,194
Thursday,10,0,12,308
Friday,10,0,5,35
Friday,10,0,4,30
Friday,10,1,9,204
Thursday,10,2,10,126
Friday,10,0,3,25
Friday,10,1,19,424
Saturday,10,0,2,37
Thursday,10,2,8,79
Friday,10,0,2,50
Sunday,10,1,8,148
Saturday,10,0,2,130
Friday,10,1,17,279
Monday,10,0,1,10
Saturday,10,0,18,110
Sunday,10,2,6,141
Wednesday,10,1,19,255
Saturday,10,1,10,180
Sunday,10,1,7,181
Thursday,10,1,15,201
Monday,10,0,1,18
Saturday,10,0,3,33
Friday,10,0,1,36
Tuesday,10,0,3,24
Wednesday,10,0,2,22
Tuesday,10,1,10,233
Friday,10,0,3,27
Monday,10,1,13,211
Monday,10,1,12,226
Thursday,10,0,3,30
Monday,10,2,10,165
Saturday,10,0,4,155
Friday,10,1,14,245
Monday,10,0,2,49
Thursday,10,0,17,142
Sunday,10,0,1,32
Wednesday,10,2,11,157
Thursday,10,1,11,170
Wednesday,10,1,6,244
Friday,10,2,3,96
Sunday,10,0,1,33
Monday,10,1,14,242
Wednesday,10,0,7,88
Thursday,10,0,2,15
Friday,10,0,22,223
Saturday,10,1,11,259
Saturday,10,1,2,169
Thursday,10,1,15,223
Friday,10,1,19,297
Sunday,10,0,1,15
Saturday,10,1,7,265
Wednesday,10,1,10,252
Saturday,10,1,4,184
Monday,10,1,9,258
Tuesday,10,1,14,218
Thursday,10,1,8,192
Monday,10,0,1,17
Thursday,10,0,14,265
Tuesday,10,2,6,146
Wednesday,10,2,2,47
Friday,10,1,8,237
Friday,10,1,20,300
Monday,10,1,5,213
Saturday,10,0,4,38
Thursday,10,0,19,251
Thursday,10,1,7,260
Thursday,10,1,13,211
Saturday,10,1,12,283
Sunday,10,1,6,133
Sunday,10,1,4,146
Friday,10,2,16,247
Thursday,10,0,18,225
Thursday,10,0,6,87
Saturday,10,2,13,178
Thursday,10,2,19,267
Thursday,10,1,13,191
Saturday,10,0,1,29
Friday,10,0,6,57
Sunday,10,1,4,136
Thursday,10,1,12,253
Saturday,10,1,4,149
Monday,10,1,12,202
Sunday,10,1,9,267
Friday,10,0,4,80
Tuesday,10,0,4,31
Tuesday,10,1,13,209
Thursday,10,2,2,54
Friday,10,0,15,208
Friday,10,0,20,212
Monday,10,1,11,211
Sunday,10,0,2,45
Sunday,10,2,2,83
Tuesday,10,0,23,274
Wednesday,10,2,5,73
Friday,10,0,1,53
Saturday,10,2,13,285
Friday,10,0,4,47
