"","idSensor","idDispositivo","tinicio","tfin","Obsoleto","duracion_s","tDB","sincio","sfin","fabricante","naturaleza","etiqueta","majordeviceclass","minordeviceclass","serviceclass"
"94","112","F713FD5D768AFD69C085BFB2CB96666C4A595607",2015-09-27 04:53:54,2015-09-27 07:10:26,0,8191,"2015-09-27 06:26:20.189",-68,-66,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
"95","102","0C343D6CED6878E1EFFBB9B0770FE7CA300DC160",2015-09-27 06:55:19,2015-09-27 07:10:13,0,893,"2015-09-27 06:58:22.785",-80,-80,"MOTOROLA MOBILITY LLC","WIFI",NA,"","",""
"96","112","7F44079CD8292E3DF035B3603BA82205B94757B0",2015-09-27 06:51:53,2015-09-27 07:10:07,0,1094,"2015-09-27 09:31:34.873",-78,-78,"SONY MOBILE MUNICATIONS AB","WIFI",NA,"","",""
"97","112","C1BA50FA6E9E492C05ECC2749233F8962DDF6D0C",2015-09-27 06:54:29,2015-09-27 07:09:53,0,924,"2015-09-27 09:41:10.224",-79,-79,"APPLE","WIFI",NA,"","",""
"98","112","D8E536392D22A57F1B1358F74D5D63C61C2C2A12",2015-09-27 06:07:24,2015-09-27 07:09:35,0,3730,"2015-09-27 08:34:09.745",-59,-59,"SAMSUNG ELECTRONICS","WIFI",NA,"","",""
"99","112","DB63BDA2EBAD770746773AAC17857AFE035115F1",2015-09-27 06:59:55,2015-09-27 07:09:19,0,564,"2015-09-27 09:41:10.224",-56,-70,"APPLE","BLUETOOTH",NA,"","",""
"100","112","1A0ABD30F35D0133A2618BF8330D9F8AC9D5EDDE",2015-09-27 06:32:37,2015-09-27 07:09:17,0,2199,"2015-09-27 09:12:24.498",-80,-73,"SAMSUNG ELECTRONICS","BLUETOOTH",NA,"","",""
"101","112","D1BCEE2F5824A15D4258A6BFA1F0E193C59C62D9",2015-09-27 06:34:07,2015-09-27 07:09:15,0,2108,"2015-09-27 09:12:24.498",-58,-58,"APPLE","WIFI",NA,"","",""
"102","112","1D8CC80CF35AF1BD42394469B5BA9E8B71B53788",2015-09-27 06:47:34,2015-09-27 07:09:03,0,1288,"2015-09-27 09:31:34.873",-80,-80,"LG ELECTRONICS (MOBILE MUNICAITONS)","WIFI",NA,"","",""
"103","112","EC38CBD4408704DB4D8EDDEFBA9482BDE0F61C04",2015-09-27 06:57:27,2015-09-27 07:08:56,0,688,"2015-09-27 09:41:10.224",-79,-79,"SONY MOBILE MUNICATIONS AB","WIFI",NA,"","",""
"104","112","7A7A351BF005410FE596509DB8215D9FCA0EE2A1",2015-09-27 06:43:59,2015-09-27 07:08:50,0,1490,"2015-09-27 09:21:57.387",-80,-80,"CLIPM","WIFI",NA,"","",""
"105","112","24929311BF08C6E5CC85AE23D35F3C46C2153F55",2015-09-27 06:29:35,2015-09-27 07:08:36,0,2341,"2015-09-27 09:12:24.498",-52,-55,"MURATA MANUFACTURING","WIFI",NA,"","",""
"106","112","4DB46B7F49B98BA804937C1A22C1963310869303",2015-09-27 06:54:46,2015-09-27 07:08:33,0,827,"2015-09-27 09:41:10.224",-75,-74,"SAMSUNG ELECTRONICS","WIFI",NA,"","",""
"107","102","9D2A3C651D28C1B8A0DA9ED21EB553EEAAC9031A",2015-09-27 06:46:58,2015-09-27 07:08:04,0,1266,"2015-09-27 06:52:53.818",-67,-75,"SAMSUNG ELECTRO MECHANICS","WIFI",NA,"","",""
"108","112","274CB2866A1CA74A7B60568E1AB16F8144363EE3",2015-09-27 05:51:18,2015-09-27 07:08:02,0,4604,"2015-09-27 08:14:58.937",-69,-71,"SAMSUNG ELECTRO MECHANICS","WIFI",NA,"","",""
"109","112","20D43BBDEAB3E4BF495EE5852D9F75EA183E3028",2015-09-27 06:52:22,2015-09-27 07:07:55,0,933,"2015-09-27 09:31:34.873",-75,-78,"APPLE","WIFI",NA,"","",""
"110","122","F86B2B21225117D690ADD1D015FD5396E9A9A919",2015-09-27 06:53:15,2015-09-27 07:07:45,0,870,"2015-09-27 06:59:34.146",-60,-70,"APPLE","WIFI",NA,"","",""
"111","112","A0612B01B2ECA20B262ACEEE8A5EF3FBC3543AB3",2015-09-27 06:57:55,2015-09-27 07:07:31,0,575,"2015-09-27 09:41:10.224",-70,-75,"APPLE","WIFI",NA,"","",""
