19
#n ent_time	out_time	stay_time	total_time	abs_time_n102	abs_time_n112	abs_time_n122	abs_time_n132	abs_time_n142	rel_time_vic_n102	rel_time_vic_n112	rel_time_vic_n122	rel_time_vic_n132	rel_time_vic_n142	rel_time_nig_n102	rel_time_nig_n112	rel_time_nig_n122	rel_time_nig_n132	rel_time_nig_n142
13273.28072	35357.26862	22083.9879	2130	0	1246	318	302	264	0	0.584976526	0.149295775	0.141784038	0.123943662	0	0.026623932	0.006794872	0.006452991	0.005641026
27965.27267	35044.26879	7078.99612	7506	34	1393	5976	70	33	0.00452971	0.185584865	0.79616307	0.009325873	0.004396483	0.000726496	0.029764957	0.127692308	0.001495726	0.000705128
32614.27012	37199.26761	4584.997487	539	41	498	0	0	0	0.07606679	0.92393321	0	0	0	0.000876068	0.010641026	0	0	0
1083.287406	2822.286453	1738.999047	96	35	0	0	26	35	0.364583333	0	0	0.270833333	0.364583333	0.000747863	0	0	0.000555556	0.000747863
21786.27606	39738.26622	17951.99016	5953	1708	4221	24	0	0	0.286914161	0.709054258	0.004031581	0	0	0.036495726	0.090192308	0.000512821	0	0
13507.2806	14120.28026	612.999664	185	185	0	0	0	0	1	0	0	0	0	0.003952991	0	0	0	0
997.2874533	1147.287371	149.9999176	114	58	0	0	56	0	0.50877193	0	0	0.49122807	0	0.001239316	0	0	0.001196581	0
19488.27732	37583.2674	18094.99008	21171	3861	8702	7821	350	437	0.182372113	0.411033962	0.369420434	0.016532049	0.020641443	0.0825	0.185940171	0.167115385	0.007478632	0.009337607
17326.2785	41280.26538	23953.98687	3293	0	0	3293	0	0	0	0	1	0	0	0	0	0.070363248	0	0
21278.27634	24326.27467	3047.99833	3445	0	2616	392	153	284	0	0.759361393	0.113788099	0.044412192	0.082438316	0	0.055897436	0.008376068	0.003269231	0.006068376
30714.27117	31360.27081	645.9996454	1536	646	0	0	412	478	0.420572917	0	0	0.268229167	0.311197917	0.013803419	0	0	0.008803419	0.010213675
2440.286662	2446.286659	5.999996857	5	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0.000106838
62.28796599	4571.285494	4508.997528	174	11	0	0	151	12	0.063218391	0	0	0.867816092	0.068965517	0.000235043	0	0	0.003226496	0.00025641
8077.283573	8455.283366	377.9997932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3374.28615	4247.285672	872.9995213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21030.27647	37345.26753	16314.99106	13831	5688	2415	2759	708	2261	0.41125009	0.174607765	0.19947943	0.051189357	0.163473357	0.121538462	0.051602564	0.058952991	0.015128205	0.048311966
1745.287043	1756.287037	10.99999403	10	0	0	0	10	0	0	0	0	1	0	0	0	0	0.000213675	0
21134.27642	36635.26792	15500.9915	7331	13	6322	196	325	475	0.001773292	0.862365298	0.02673578	0.044332288	0.064793343	0.000277778	0.13508547	0.004188034	0.006944444	0.010149573
28625.27231	35787.26839	7161.996075	1142	642	500	0	0	0	0.562171629	0.437828371	0	0	0	0.013717949	0.010683761	0	0	0
30813.27111	38843.26671	8029.995599	7103	260	2590	243	561	3449	0.036604252	0.364634661	0.034210897	0.078980712	0.485569478	0.005555556	0.05534188	0.005192308	0.011987179	0.073696581
26158.27366	36332.26809	10173.99442	531	0	427	0	7	97	0	0.804143126	0	0.013182674	0.1826742	0	0.009123932	0	0.000149573	0.00207265
3077.286313	5018.28525	1940.998937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20018.27703	32953.26994	12934.99291	15669	0	7024	471	3470	4704	0	0.448273661	0.030059353	0.221456379	0.300210607	0	0.15008547	0.010064103	0.074145299	0.100512821
28334.27247	37301.26756	8966.995085	9144	301	3820	584	1486	2953	0.03291776	0.41776028	0.063867017	0.162510936	0.322944007	0.006431624	0.081623932	0.012478632	0.031752137	0.063098291
30181.27146	30487.27129	305.9998322	504	0	0	0	199	305	0	0	0	0.39484127	0.60515873	0	0	0	0.004252137	0.006517094
22744.27553	23564.27508	819.9995505	1303	0	0	0	700	603	0	0	0	0.537221796	0.462778204	0	0	0	0.014957265	0.012884615
6636.284363	6647.284357	10.99999403	10	0	10	0	0	0	0	1	0	0	0	0	0.000213675	0	0	0
