"";"Fecha";"Calle";"Espiras";"Mobywit"
"400";2016-09-02 01:15:00;"Beiro-Andalucía";14;8
"401";2016-09-02 01:15:00;"Constitución";53;10
"402";2016-09-02 01:15:00;"Dr-Oloriz";0;11
"403";2016-09-02 01:15:00;"Méndez-Núñez";101;5
"404";2016-09-02 01:30:00;"Beiro-Andalucía";9;3
"405";2016-09-02 01:30:00;"Constitución";51;2
"406";2016-09-02 01:30:00;"Dr-Oloriz";0;11
"407";2016-09-02 01:30:00;"Méndez-Núñez";94;5
"408";2016-09-02 01:45:00;"Beiro-Andalucía";6;3
"409";2016-09-02 01:45:00;"Constitución";42;2
"410";2016-09-02 01:45:00;"Dr-Oloriz";0;4
"411";2016-09-02 01:45:00;"Méndez-Núñez";72;6
"412";2016-09-02 02:00:00;"Beiro-Andalucía";5;3
"413";2016-09-02 02:00:00;"Constitución";31;1
"414";2016-09-02 02:00:00;"Dr-Oloriz";0;10
"415";2016-09-02 02:00:00;"Méndez-Núñez";58;5
"416";2016-09-02 02:15:00;"Beiro-Andalucía";7;6
"417";2016-09-02 02:15:00;"Constitución";17;5
"418";2016-09-02 02:15:00;"Dr-Oloriz";0;8
"419";2016-09-02 02:15:00;"Méndez-Núñez";60;6
"420";2016-09-02 02:30:00;"Beiro-Andalucía";8;2
"421";2016-09-02 02:30:00;"Constitución";19;5
"422";2016-09-02 02:30:00;"Dr-Oloriz";0;6
"423";2016-09-02 02:30:00;"Méndez-Núñez";51;4
"424";2016-09-02 02:45:00;"Beiro-Andalucía";4;4
"425";2016-09-02 02:45:00;"Constitución";33;1
"426";2016-09-02 02:45:00;"Dr-Oloriz";0;6
"427";2016-09-02 02:45:00;"Méndez-Núñez";37;2
"428";2016-09-02 03:00:00;"Beiro-Andalucía";5;6
"429";2016-09-02 03:00:00;"Constitución";23;3
"430";2016-09-02 03:00:00;"Dr-Oloriz";0;6
"431";2016-09-02 03:00:00;"Méndez-Núñez";25;3
"432";2016-09-02 03:15:00;"Beiro-Andalucía";3;1
"433";2016-09-02 03:15:00;"Constitución";19;2
"434";2016-09-02 03:15:00;"Dr-Oloriz";0;10
"435";2016-09-02 03:15:00;"Méndez-Núñez";28;1
"436";2016-09-02 03:30:00;"Beiro-Andalucía";4;1
